lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.06824,37.97095,-10123.83,17112.67,84.96,20412.16,-11.62,-3.41,253.6625,253.6625,253.8216,36,4.43002184,-0.00364048
113.06811,37.97092,-10135.45,17109.26,84.98,20424.27,-11.56,-3.39,253.6478,253.6478,253.613,37,4.42638136,-0.00187529
113.06797,37.97089,-10147.01,17105.87,84.99,20436.32,-11.47,-3.42,253.3897,253.4379,253.5055,37,4.42450607,-0.00082856
113.06784,37.97087,-10158.48,17102.45,85.01,20448.3,-11.4,-3.43,253.2694,253.3897,253.4581,37,4.42367751,-0.00077701
113.06771,37.97084,-10169.89,17099.02,85.02,20460.2,-11.33,-3.37,253.4379,253.3897,253.4135,37,4.4229005,-4.45e-05
113.06758,37.97081,-10181.22,17095.65,85.04,20472.03,-11.25,-3.36,253.3772,253.4252,253.411,37,4.422856,0.00012378
113.06745,37.97078,-10192.46,17092.3,85.05,20483.76,-11.2,-3.33,253.4252,253.4252,253.4181,37,4.42297978,0.0002614
113.06733,37.97075,-10203.67,17088.96,85.07,20495.45,-11.12,-3.3,253.4914,253.4252,253.4331,37,4.42324118,-4.542e-05
113.0672,37.97073,-10214.79,17085.66,85.08,20507.05,-11.05,-3.31,253.3465,253.4252,253.4304,37,4.42319576,0.00012738
113.06707,37.9707,-10225.84,17082.36,85.1,20518.59,-10.98,-3.25,253.488,253.4646,253.4377,37,4.42332314,-4.543e-05
113.06695,37.97067,-10236.82,17079.1,85.11,20530.04,-10.91,-3.25,253.4122,253.4122,253.4351,37,4.42327771,9.061e-05
113.06682,37.97064,-10247.73,17075.85,85.13,20541.42,-10.84,-3.22,253.4646,253.4617,253.4403,37,4.42336832,-0.00030926
113.0667,37.97062,-10258.58,17072.63,85.14,20552.74,-10.76,-3.22,253.3521,253.4122,253.4226,37,4.42305906,0.00011488
113.06657,37.97059,-10269.33,17069.42,85.16,20563.96,-10.7,-3.18,253.4617,253.4511,253.4292,37,4.42317394,-0.00029903
113.06645,37.97056,-10280.04,17066.24,85.17,20575.13,-10.63,-3.18,253.3607,253.376,253.4121,37,4.42287491,6.349e-05
113.06633,37.97054,-10290.67,17063.06,85.19,20586.23,-10.6,-3.15,253.4511,253.4451,253.4157,37,4.4229384,-0.00016458
113.06621,37.97051,-10301.27,17059.91,85.2,20597.29,-10.52,-3.14,253.376,253.376,253.4063,37,4.42277382,0.0001897
113.06609,37.97049,-10311.79,17056.77,85.22,20608.27,-10.49,-3.12,253.4451,253.4303,253.4171,37,4.42296352,-5.14e-05
113.06597,37.97046,-10322.28,17053.65,85.23,20619.21,-10.43,-3.12,253.3608,253.404,253.4142,37,4.42291212,0.0001897
113.06585,37.97043,-10332.71,17050.53,85.25,20630.1,-10.4,-3.09,253.4303,253.4303,253.4251,37,4.42310182,-9.203e-05
113.06573,37.97041,-10343.11,17047.44,85.26,20640.95,-10.36,-3.09,253.404,253.4303,253.4198,37,4.42300979,0.00017614
113.06561,37.97038,-10353.48,17044.35,85.28,20651.76,-10.34,-3.07,253.4637,253.4303,253.4299,37,4.42318593,-8.116e-05
113.06549,37.97036,-10363.82,17041.28,85.29,20662.55,-10.3,-3.06,253.4544,253.404,253.4252,37,4.42310477,-8.116e-05
113.06537,37.97033,-10374.12,17038.22,85.31,20673.29,-10.28,-3.07,253.3717,253.4544,253.4206,37,4.42302361,1.304e-05
113.06526,37.97031,-10384.4,17035.15,85.32,20684.02,-10.25,-3.07,253.3286,253.4071,253.4213,37,4.42303665,0.00010506
113.06514,37.97028,-10394.65,17032.08,85.34,20694.72,-10.26,-3.03,253.5533,253.4071,253.4274,37,4.42314171,-7.107e-05
113.06502,37.97025,-10404.91,17029.05,85.35,20705.42,-10.23,-3.05,253.4071,253.4341,253.4233,38,4.42307064,0.00012203
113.0649,37.97023,-10415.14,17026,85.37,20716.09,-10.22,-3.03,253.4801,253.4341,253.4303,38,4.42319267,0.00012203
113.06479,37.9702,-10425.35,17022.97,85.38,20726.75,-10.22,-3.04,253.4341,253.4341,253.4373,38,4.4233147,2.783e-05
113.06467,37.97018,-10435.57,17019.94,85.4,20737.41,-10.2,-3.04,253.4034,253.442,253.4389,38,4.42334253,0.00017507
113.06455,37.97015,-10445.77,17016.9,85.41,20748.05,-10.2,-3.02,253.4842,253.442,253.4489,38,4.4235176,9.333e-05
113.06444,37.97013,-10455.97,17013.87,85.43,20758.69,-10.18,-3.03,253.442,253.442,253.4542,38,4.42361093,6.549e-05
113.06432,37.9701,-10466.15,17010.84,85.44,20769.31,-10.17,-3.01,253.5337,253.4842,253.458,38,4.42367642,6.549e-05
113.0642,37.97008,-10476.32,17007.84,85.46,20779.92,-10.16,-3.03,253.3998,253.4608,253.4617,38,4.42374191,6.55e-05
113.06409,37.97005,-10486.48,17004.81,85.47,20790.52,-10.15,-3,253.5081,253.4608,253.4655,38,4.42380741,-8.175e-05
113.06397,37.97003,-10496.63,17001.8,85.49,20801.1,-10.14,-3.01,253.4608,253.4608,253.4608,38,4.42372566,-0.00024908
113.06385,37.97,-10506.77,16998.79,85.5,20811.68,-10.12,-3.02,253.3777,253.4608,253.4465,38,4.42347658,-0.00017743
113.06374,37.96998,-10516.89,16995.77,85.52,20822.24,-10.11,-2.99,253.528,253.4608,253.4364,38,4.42329915,-0.00017744
113.06362,37.96995,-10527,16992.78,85.53,20832.78,-10.12,-3.02,253.3895,253.3895,253.4262,38,4.42312171,-0.00017005
113.06351,37.96993,-10537.12,16989.76,85.55,20843.34,-10.09,-2.99,253.4856,253.41,253.4165,38,4.42295166,-0.00017005
113.06339,37.9699,-10547.21,16986.77,85.56,20853.87,-10.11,-3.02,253.377,253.41,253.4067,38,4.42278161,7.903e-05
113.06327,37.96988,-10557.32,16983.75,85.58,20864.42,-10.09,-3.01,253.41,253.4121,253.4112,38,4.42286064,0.00026784
113.06316,37.96985,-10567.42,16980.75,85.59,20874.95,-10.1,-3,253.4867,253.4121,253.4266,38,4.42312848,0.00028925
113.06304,37.96983,-10577.52,16977.75,85.61,20885.49,-10.11,-3.01,253.4121,253.4121,253.4432,38,4.42341773,0.00028186
